# {'data_set': ['pamap2'], 'batch_size': [128], 'sliding_window_size': 100, 'sliding_window_step': 22, 'epochs': 50, 'learning_rate': [0.0001], 'weight_decay': [0.0001], 'momentum': [0.9], 'loss_critereon': [CrossEntropyLoss()], 'optimizer': ['SGD'], 'kernelsize': [(5, 1)], 'gpu_device': device(type='cuda', index=0)}
loss_trn loss_val accurary_trn accuracy_val f1_trn f1_val
2.484953880310058594e+00 2.486076116561889648e+00 4.761904850602149963e-02 0.000000000000000000e+00 4.329004324972629547e-03 0.000000000000000000e+00
2.485042333602905273e+00 2.486037015914916992e+00 3.968254104256629944e-02 0.000000000000000000e+00 3.029201412573456764e-03 0.000000000000000000e+00
2.485198259353637695e+00 2.485998153686523438e+00 2.380952425301074982e-02 0.000000000000000000e+00 1.107419724576175213e-03 0.000000000000000000e+00
2.485273122787475586e+00 2.485975742340087891e+00 6.349206715822219849e-02 0.000000000000000000e+00 7.581141777336597443e-03 0.000000000000000000e+00
2.485078573226928711e+00 2.485922813415527344e+00 2.380952425301074982e-02 0.000000000000000000e+00 1.107419724576175213e-03 0.000000000000000000e+00
2.485138177871704102e+00 2.485879421234130859e+00 1.587301678955554962e-02 0.000000000000000000e+00 4.960317746736109257e-04 0.000000000000000000e+00
2.484981060028076172e+00 2.485840082168579102e+00 2.380952425301074982e-02 0.000000000000000000e+00 1.107419724576175213e-03 0.000000000000000000e+00
2.485231399536132812e+00 2.485815048217773438e+00 3.174603357911109924e-02 0.000000000000000000e+00 1.953602069988846779e-03 0.000000000000000000e+00
2.485353469848632812e+00 2.485791683197021484e+00 3.174603357911109924e-02 0.000000000000000000e+00 1.953602069988846779e-03 0.000000000000000000e+00
2.484971284866333008e+00 2.485737323760986328e+00 1.587301678955554962e-02 0.000000000000000000e+00 4.960317746736109257e-04 0.000000000000000000e+00
2.485507249832153320e+00 2.485708713531494141e+00 3.968254104256629944e-02 0.000000000000000000e+00 3.029201412573456764e-03 0.000000000000000000e+00
2.484879970550537109e+00 2.485671281814575195e+00 3.968254104256629944e-02 0.000000000000000000e+00 3.029201412573456764e-03 0.000000000000000000e+00
2.485190391540527344e+00 2.485615491867065430e+00 3.174603357911109924e-02 0.000000000000000000e+00 1.953602069988846779e-03 0.000000000000000000e+00
2.485167026519775391e+00 2.485593318939208984e+00 1.587301678955554962e-02 0.000000000000000000e+00 4.960317746736109257e-04 0.000000000000000000e+00
2.484812021255493164e+00 2.485575914382934570e+00 3.968254104256629944e-02 0.000000000000000000e+00 3.029201412573456764e-03 0.000000000000000000e+00
2.485211610794067383e+00 2.485523223876953125e+00 3.174603357911109924e-02 0.000000000000000000e+00 1.953602069988846779e-03 0.000000000000000000e+00
2.484958648681640625e+00 2.485490798950195312e+00 3.968254104256629944e-02 0.000000000000000000e+00 3.029201412573456764e-03 0.000000000000000000e+00
2.485060691833496094e+00 2.485456705093383789e+00 7.142857462167739868e-02 0.000000000000000000e+00 9.523809887468814850e-03 0.000000000000000000e+00
2.485069513320922852e+00 2.485412120819091797e+00 3.174603357911109924e-02 0.000000000000000000e+00 1.953602069988846779e-03 0.000000000000000000e+00
2.485075950622558594e+00 2.485378265380859375e+00 6.349206715822219849e-02 0.000000000000000000e+00 7.581141777336597443e-03 0.000000000000000000e+00
2.485036611557006836e+00 2.485356092453002930e+00 3.174603357911109924e-02 0.000000000000000000e+00 1.953602069988846779e-03 0.000000000000000000e+00
2.485166072845458984e+00 2.485317707061767578e+00 3.968254104256629944e-02 0.000000000000000000e+00 3.029201412573456764e-03 0.000000000000000000e+00
2.485285758972167969e+00 2.485276222229003906e+00 2.380952425301074982e-02 0.000000000000000000e+00 1.107419724576175213e-03 0.000000000000000000e+00
2.484933137893676758e+00 2.485237598419189453e+00 4.761904850602149963e-02 0.000000000000000000e+00 4.329004324972629547e-03 0.000000000000000000e+00
2.485015630722045898e+00 2.485199689865112305e+00 5.555555596947669983e-02 0.000000000000000000e+00 5.847953259944915771e-03 0.000000000000000000e+00
2.484904050827026367e+00 2.485178709030151367e+00 3.174603357911109924e-02 0.000000000000000000e+00 1.953602069988846779e-03 0.000000000000000000e+00
2.485019683837890625e+00 2.485124588012695312e+00 4.761904850602149963e-02 0.000000000000000000e+00 4.329004324972629547e-03 0.000000000000000000e+00
2.484924316406250000e+00 2.485101222991943359e+00 3.968254104256629944e-02 0.000000000000000000e+00 3.029201412573456764e-03 0.000000000000000000e+00
2.485162258148193359e+00 2.485082387924194336e+00 3.968254104256629944e-02 0.000000000000000000e+00 3.029201412573456764e-03 0.000000000000000000e+00
2.484957218170166016e+00 2.485025882720947266e+00 3.968254104256629944e-02 0.000000000000000000e+00 3.029201412573456764e-03 0.000000000000000000e+00
2.485095262527465820e+00 2.484990835189819336e+00 4.761904850602149963e-02 0.000000000000000000e+00 4.329004324972629547e-03 0.000000000000000000e+00
2.484750986099243164e+00 2.484969139099121094e+00 7.142857462167739868e-02 0.000000000000000000e+00 9.523809887468814850e-03 0.000000000000000000e+00
2.484925985336303711e+00 2.484930038452148438e+00 3.968254104256629944e-02 0.000000000000000000e+00 3.029201412573456764e-03 0.000000000000000000e+00
2.484758138656616211e+00 2.484888076782226562e+00 1.587301678955554962e-02 0.000000000000000000e+00 4.960317746736109257e-04 0.000000000000000000e+00
2.484971284866333008e+00 2.484858751296997070e+00 7.142857462167739868e-02 0.000000000000000000e+00 9.523809887468814850e-03 0.000000000000000000e+00
